,1,2,3,4,5,6
CharType,PlayerCharacter,Enermy1,Enermy2,Enermy3,Boss1,Egie
GroundHeavyCombo01,15,12,12,12,20,15
GroundHeavyCombo02,15,12,12,12,20,15
GroundHeavyCombo03,15,12,12,12,20,15
GroundHeavyCombo04,15,,,,,15
AirHeavyCombo01,20,12,12,12,25,15
AirHeavyCombo02,20,12,12,12,25,15
AirHeavyCombo03,20,12,12,12,25,15
AirHeavyCombo04,20,,,,,15
GroundHeavyHold01,20,12,12,12,25,15
GroundHeavyHold02,20,12,12,12,25,15
GroundHeavyHold03,20,12,12,12,25,15
GroundHeavyHold04,20,,,,,15
AirHeavyHold01,20,12,12,12,25,15
AirHeavyHold02,20,12,12,12,25,15
AirHeavyHold03,20,12,12,12,25,15
AirHeavyHold04,20,,,,,15
GroundHeavyRelease01,20,12,12,12,25,15
GroundHeavyRelease02,20,12,12,12,25,15
GroundHeavyRelease03,20,12,12,12,25,15
GroundHeavyRelease04,20,,,,,15
AirHeavyRelease01,20,12,12,12,25,15
AirHeavyRelease02,20,12,12,12,25,15
AirHeavyRelease03,20,12,12,12,25,15
AirHeavyRelease04,20,,,,,15
