,1,2,3,4,5,6
CharType,PlayerCharacter,Enermy1,Enermy2,Enermy3,Boss1,Egie
Skill01,1.2,1.2,1.2,1.2,1.2,1.5
Skill02,1.2,1.2,1.2,1.2,1.2,
Skill03,1.2,1.2,1.2,1.2,1.2,
Skill04,1.2,1.2,1.2,1.2,1.2,
Skill05,1.2,1.2,1.2,1.2,1.2,
Skill06,1.2,1.2,1.2,1.2,1.2,
Skill07,1.2,1.2,1.2,1.2,1.2,
Skill08,1.2,1.2,1.2,1.2,1.2,
Skill01_H,1.2,1.2,1.2,1.2,1.2,
Skill02_H,1.2,1.2,1.2,1.2,1.2,
Skill03_H,1.2,1.2,1.2,1.2,1.2,
Skill04_H,1.2,1.2,1.2,1.2,1.2,
Skill05_H,1.2,1.2,1.2,1.2,1.2,
Skill06_H,1.2,1.2,1.2,1.2,1.2,
Skill07_H,1.2,1.2,1.2,1.2,1.2,
Skill08_H,1.2,1.2,1.2,1.2,1.2,
Skill01_R,1.2,1.2,1.2,1.2,1.2,
Skill02_R,1.2,1.2,1.2,1.2,1.2,
Skill03_R,1.2,1.2,1.2,1.2,1.2,
Skill04_R,1.2,1.2,1.2,1.2,1.2,
Skill05_R,1.2,1.2,1.2,1.2,1.2,
Skill06_R,1.2,1.2,1.2,1.2,1.2,
Skill07_R,1.2,1.2,1.2,1.2,1.2,
Skill08_R,1.2,1.2,1.2,1.2,1.2,
Skill01_Air,1.2,1.2,1.2,1.2,1.2,
Skill02_Air,1.2,1.2,1.2,1.2,1.2,
Skill03_Air,1.2,1.2,1.2,1.2,1.2,
Skill04_Air,1.2,1.2,1.2,1.2,1.2,
Skill05_Air,1.2,1.2,1.2,1.2,1.2,
Skill06_Air,1.2,1.2,1.2,1.2,1.2,
Skill07_Air,1.2,1.2,1.2,1.2,1.2,
Skill08_Air,1.2,1.2,1.2,1.2,1.2,
Skill01_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill02_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill03_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill04_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill05_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill06_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill07_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill08_H_Air,1.2,1.2,1.2,1.2,1.2,
Skill01_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill02_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill03_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill04_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill05_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill06_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill07_R_Air,1.2,1.2,1.2,1.2,1.2,
Skill08_R_Air,1.2,1.2,1.2,1.2,1.2,
