,1,2,3,4,5,6
CharType,PlayerCharacter,Enermy1,Enermy2,Enermy3,Boss1,Egie
Skill01,15,15,15,15,20,20
Skill02,15,15,15,15,20,
Skill03,15,15,15,15,20,
Skill04,15,,,,,
Skill05,20,15,15,15,25,
Skill06,20,15,15,15,25,
Skill07,20,15,15,15,25,
Skill08,20,,,,,
Skill01_H,15,15,15,15,20,
Skill02_H,15,15,15,15,20,
Skill03_H,15,15,15,15,20,
Skill04_H,15,,,,,
Skill05_H,15,15,15,15,20,
Skill06_H,15,15,15,15,20,
Skill07_H,15,15,15,15,20,
Skill08_H,15,,,,,
Skill01_R,15,15,15,15,20,
Skill02_R,15,15,15,15,20,
Skill03_R,15,15,15,15,20,
Skill04_R,15,,,,,
Skill05_R,15,15,15,15,20,
Skill06_R,15,15,15,15,20,
Skill07_R,15,15,15,15,20,
Skill08_R,15,,,,,
Skill01_Air,15,15,15,15,20,
Skill02_Air,15,15,15,15,20,
Skill03_Air,15,15,15,15,20,
Skill04_Air,15,,,,,
Skill05_Air,15,15,15,15,20,
Skill06_Air,15,15,15,15,20,
Skill07_Air,15,15,15,15,20,
Skill08_Air,15,,,,,
Skill01_H_Air,15,15,15,15,20,
Skill02_H_Air,15,15,15,15,20,
Skill03_H_Air,15,15,15,15,20,
Skill04_H_Air,15,,,,,
Skill05_H_Air,15,15,15,15,20,
Skill06_H_Air,15,15,15,15,20,
Skill07_H_Air,15,15,15,15,20,
Skill08_H_Air,15,,,,,
Skill01_R_Air,15,15,15,15,20,
Skill02_R_Air,15,15,15,15,20,
Skill03_R_Air,15,15,15,15,20,
Skill04_R_Air,15,,,,,
Skill05_R_Air,15,15,15,15,20,
Skill06_R_Air,15,15,15,15,20,
Skill07_R_Air,15,15,15,15,20,
Skill08_R_Air,15,,,,,
