,1,2,3,4,5
CharType,PlayerCharacter,Enermy1,Enermy2,Enermy3,Boss1
GroundGrab01,1.2,1,1,1.7,1
GroundGrab02,1.2,1,1,1.7,1
GroundGrab03,1.2,1,1,1.7,1
GroundGrab04,1.2,1,1,1.7,1
AirGrab01,1.2,1,1,1.7,1
AirGrab02,1.2,1,1,1.7,1
AirGrab03,1.2,1,1,1.7,1
AirGrab04,1.2,1,1,1.7,1
GroundCombo01,1.2,1,1,1.7,1
GroundCombo02,1.2,1,1,1.7,1
GroundCombo03,1.2,1,1,1.7,1
GroundCombo04,1.2,1,1,1.7,1
GroundCombo05,1.2,1,1,1.7,1
AirCombo01,1.2,1,1,1.7,1
AirCombo02,1.2,1,1,1.7,1
AirCombo03,1.2,1,1,1.7,1
AirCombo04,1.2,1,1,1.7,1
AirCombo05,1.2,1,1,1.7,1
GroundHeavy01,1.2,1,1,1.7,1
GroundHeavy02,1.2,1,1,1.7,1
GroundHeavy03,1.2,1,1,1.7,1
GroundHeavy04,1.2,1,1,1.7,1
GroundHeavy05,1.2,1,1,1.7,1
AirHeavy01,1.2,1,1,1.7,1
AirHeavy02,1.2,1,1,1.7,1
AirHeavy03,1.2,1,1,1.7,1
AirHeavy04,1.2,1,1,1.7,1
AirHeavy05,1.2,1,1,1.7,1
GroundHeavy01_H,1.2,1,1,1.7,1
GroundHeavy02_H,1.2,1,1,1.7,1
GroundHeavy03_H,1.2,1,1,1.7,1
GroundHeavy04_H,1.2,1,1,1.7,1
GroundHeavy05_H,1.2,1,1,1.7,1
AirHeavy01_H,1.2,1,1,1.7,1
AirHeavy02_H,1.2,1,1,1.7,1
AirHeavy03_H,1.2,1,1,1.7,1
AirHeavy04_H,1.2,1,1,1.7,1
AirHeavy05_H,1.2,1,1,1.7,1
