,1,2,3,4,5
MaxHealth,70,70,70,70,70
MaxStamina,120,120,120,120,120
BaseAttackPower,8,8,8,8,8
BaseDefencePower,1,1,1,1,1
BaseBreakPower,20,20,20,20,20
DefenceBreak,1,1,1,1,1
DefaultDefenceBreak,1,1,1,1,1
SturnRecoverTime,3,3,3,3,3
SturnDefaultRecoverTime,3,3,3,3,3
SturnRecoverSpeed,26,26,26,26,26
SturnDefaultRecoverSpeed,26,26,26,26,2
RenXing,9,9,9,9,9
RenXingRecoverSpeed,0.7,0.7,0.7,0.7,0.7
RenXingRecoverTime,1.5,1.5,1.5,1.5,1.5
PhysicsDamageReduction,0,0,0,0,0
MagicDamageReduction,30,30,30,30,30
ImpactForceReduce,0,0,0,0,0
ResistBlunt,0,0,0,0,0
ResistCut,0,0,0,0,0
ResistBullet,0,0,0,0,0
ResistExplode,0,0,0,0,0
ResistBolt,0,0,0,0,0
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
