,1,2,3,4,5
MaxHealth,530,530,530,530,530
MaxStamina,420,420,420,420,420
BaseAttackPower,11,11,11,11,11
BaseDefencePower,1,1,1,1,1
BaseBreakPower,20,20,20,20,20
DefenceBreak,1,1,1,1,1
DefaultDefenceBreak,1,1,1,1,1
SturnRecoverTime,5,5,5,5,5
SturnDefaultRecoverTime,5,5,5,5,5
SturnRecoverSpeed,84,84,84,84,84
SturnDefaultRecoverSpeed,84,84,84,84,84
RenXing,35,35,35,35,35
RenXingRecoverSpeed,40,40,40,40,40
RenXingRecoverTime,1.7,1.7,1.7,1.7,1.7
PhysicsDamageReduction,0,0,0,0,0
MagicDamageReduction,30,30,30,30,30
ImpactForceReduce,-1,-1,-1,-1,-1
ResistBlunt,0,0,0,0,0
ResistCut,0,0,0,0,0
ResistBullet,0.1,0.1,0.1,0.1,0.1
ResistExplode,-0.2,-0.2,-0.2,-0.2,-0.2
ResistBolt,0.6,0.6,0.6,0.6,0.6
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
