,1,2,3,4,5
MaxHealth,85,85,85,85,85
MaxStamina,100,100,100,100,100
BaseAttackPower,15,15,15,15,15
BaseDefencePower,1,1,1,1,1
BaseBreakPower,25,25,25,25,25
DefenceBreak,0.8,0.8,0.8,0.8,0.8
DefaultDefenceBreak,0.8,0.8,0.8,0.8,0.8
SturnRecoverTime,3,3,3,3,3
SturnDefaultRecoverTime,3,3,3,3,3
SturnRecoverSpeed,35,35,35,35,35
SturnDefaultRecoverSpeed,35,35,35,35,35
RenXing,5,5,5,5,5
RenXingRecoverSpeed,0.7,0.7,0.7,0.7,0.7
RenXingRecoverTime,1.5,1.5,1.5,1.5,1.5
PhysicsDamageReduction,0,0,0,0,0
MagicDamageReduction,20,20,20,20,20
ImpactForceReduce,0,0,0,0,0
ResistBlunt,0.1,0.1,0.1,0.1,0.1
ResistCut,0,0,0,0,0
ResistBullet,-0.1,-0.1,-0.1,-0.1,-0.1
ResistExplode,0,0,0,0,0
ResistBolt,0.5,0.5,0.5,0.5,0.5
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
