,1,2,3,4,5
MaxHealth,120,120,120,120,120
MaxStamina,100,100,100,100,100
BaseAttackPower,25,25,25,25,25
BaseDefencePower,1,1,1,1,1
BaseBreakPower,30,30,30,30,30
DefenceBreak,1.3,1.3,1.3,1.3,1.3
DefaultDefenceBreak,1.3,1.3,1.3,1.3,1.3
SturnRecoverTime,4,4,4,4,4
SturnDefaultRecoverTime,4,4,4,4,4
SturnRecoverSpeed,23,23,23,23,23
SturnDefaultRecoverSpeed,23,23,23,23,23
RenXing,15,15,15,15,15
RenXingRecoverSpeed,0.7,0.7,0.7,0.7,0.7
RenXingRecoverTime,1.5,1.5,1.5,1.5,1.5
PhysicsDamageReduction,10,10,10,10,10
MagicDamageReduction,35,35,35,35,35
ImpactForceReduce,-1,-1,-1,-1,-1
ResistBlunt,0.1,0.1,0.1,0.1,0.1
ResistCut,0.1,0.1,0.1,0.1,0.1
ResistBullet,0.1,0.1,0.1,0.1,0.1
ResistExplode,0.1,0.1,0.1,0.1,0.1
ResistBolt,0.5,0.5,0.5,0.5,0.5
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
