,1,2,3,4,5
MaxHealth,100,120,140,160,180
MaxStamina,100,110,120,130,140
BaseAttackPower,1,1.1,1.2,1.3,1.45
BaseDefencePower,1,1.1,1.2,1.3,1.4
BaseBreakPower,1,1,1,1,1
DefenceBreak,1,1,1,1,1
DefaultDefenceBreak,1,1,1,1,1
SturnRecoverTime,3,3,3,3,3
SturnDefaultRecoverTime,3,3,3,3,3
SturnRecoverSpeed,10,10,10,10,10
SturnDefaultRecoverSpeed,10,10,10,10,10
RenXing,9,9,9,9,9
RenXingRecoverSpeed,0.7,0.7,0.7,0.7,0.7
RenXingRecoverTime,1.5,1.5,1.5,1.5,1.5
PhysicsDamageReduction,0,0,0,0,0
MagicDamageReduction,30,30,30,30,30
ImpactForceReduce,0,-1,-2,-3,-3
ResistBlunt,0,0,0,0,0
ResistCut,0,0,0,0,0
ResistBullet,0,0,0,0,0
ResistExplode,0,0,0,0,0
ResistBolt,0,0,0,0,0
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
