,1,2,3,4,5
MaxHealth,70,70,70,70,70
MaxStamina,190,190,190,190,190
BaseAttackPower,8,8,8,8,8
BaseDefencePower,1,1,1,1,1
BaseBreakPower,20,20,20,20,20
DefenceBreak,1,1,1,1,1
DefaultDefenceBreak,1,1,1,1,1
SturnRecoverTime,6,6,6,6,6
SturnDefaultRecoverTime,6,6,6,6,6
SturnRecoverSpeed,16,16,16,16,16
SturnDefaultRecoverSpeed,26,26,26,26,2
RenXing,30,30,30,30,30
RenXingRecoverSpeed,3,3,3,3,3
RenXingRecoverTime,1.5,1.5,1.5,1.5,1.5
PhysicsDamageReduction,0,0,0,0,0
MagicDamageReduction,30,30,30,30,30
ImpactForceReduce,0,0,0,0,0
ResistBlunt,-0.3,-0.3,-0.3,-0.3,-0.3
ResistCut,0.3,0.3,0.3,0.3,0.3
ResistBullet,0.6,0.6,0.6,0.6,0.6
ResistExplode,-0.2,-0.2,-0.2,-0.2,-0.2
ResistBolt,-0.2,-0.2,-0.2,-0.2,-0.2
ResistFire,0,0,0,0,0
ResistRust,0,0,0,0,0
